- Abla, "37.1556591531302,-2.7644440906"
- Abrucena, "37.1512596430231,-2.8161976467"
- Adra, "36.765915264103,-3.05470374135"
- Albanchez, "37.2866573584854,-2.1599736966"
- Alboloduy, "37.0659534853549,-2.6211838364"
- Albox, "37.384344000229,-2.13958740234"
- Alcolea, "36.9313072102087,-3.0123654641"
- Alcontar, "37.3151617629529,-2.6208790963"
- AlcudiadeMonteagud, "37.2422407928632,-2.2506540001"
- Alhabia, "36.9912327667902,-2.5636482990"
- AlhamadeAlmeria, "36.956010099458,-2.57385970839"
- Alicun, "36.9523952361686,-2.6025727019"
- Almeria, "36.7725091150402,-2.4277821271"
- Almocita, "36.9757321166715,-2.8079781815"
- Alsodux, "37.0271447190725,-2.6131237282"
- Antas, "37.2595940364689,-1.9684592903"
- Arboleas, "37.3485245800076,-2.0819670513"
- ArmunadeAlmanzora, "37.3585241613637,-2.4168871504"
- Bacares, "37.2470185787005,-2.4829255364"
- Bayarcal, "37.0511533572062,-2.9941944625"
- Bayarque, "37.3185233503649,-2.4557748080"
- Bedar, "37.1779580736193,-1.9976203257"
- Beires, "37.0294516023211,-2.8101400043"
- Benahadux, "36.9195704281289,-2.4641360852"
- Benitagla, "37.2354496016829,-2.2249346032"
- Benizalon, "37.2081102749427,-2.2093619949"
- Bentarique, "36.9604401739468,-2.6481853970"
- Berja, "36.8395075505926,-2.9687384874"
- Canjayar, "37.0034692439428,-2.7387108272"
- Cantoria, "37.3299802689034,-2.1605749684"
- Carboneras, "37.0015291590522,-1.9212492970"
- CastrodeFilabres, "37.1837626291294,-2.4511827015"
- Chercos, "37.2629567661847,-2.2671913870"
- Chirivel, "37.6080010768727,-2.2822673934"
- Cobdar, "37.253406269321,-2.19306121627"
- CuevasdelAlmanzora, "37.3014844068156,-1.7834537055"
- Dalias, "36.8534699362324,-2.8260722430"
- EjidoEl, "36.7229140771858,-2.8047516150"
- Enix, "36.8592535204824,-2.5858620522"
- Felix, "36.8681063649177,-2.7096694185"
- Finana, "37.1847288632039,-2.8582594630"
- Fines, "37.3680220734156,-2.2671861705"
- Fondon, "36.9818732134296,-2.8586802344"
- Gador, "36.9610416093743,-2.5122095141"
- GallardosLos, "37.1484297122229,-1.9582599764"
- Garrucha, "37.1874262186716,-1.8349314287"
- Gergal, "37.1319670949817,-2.5424360633"
- Huecija, "36.951883939415,-2.62899499355"
- HuercaldeAlmeria, "36.879081151549,-2.45537940526"
- HuercalOvera, "37.4100964112338,-1.9612662128"
- Illar, "36.9868806294704,-2.6405576938"
- Instincion, "36.9709834774742,-2.6854125145"
- Laroya, "37.2888174086889,-2.3395660794"
- LaujardeAndarax, "37.0088624409254,-2.9030955307"
- Lijar, "37.2871651869901,-2.2256598643"
- Lubrin, "37.2393320039862,-2.0753403000"
- LucainenadelasTorres, "37.0493666022737,-2.1424453818"
- Lucar, "37.4369971543596,-2.4346250356"
- Macael, "37.3097404064501,-2.3011874417"
- Maria, "37.7298008633973,-2.2232293777"
- Mojacar, "37.1214474453693,-1.8551539052"
- MojoneraLa, "36.7824325839731,-2.6845875530"
- Nacimiento, "37.1475013962309,-2.6593204514"
- Nijar, "36.9611401398839,-2.2003555297"
- Ohanes, "37.0645547689812,-2.7620290433"
- OluladeCastro, "37.1666137815828,-2.4817360503"
- OluladelRio, "37.3830015875759,-2.3066743784"
- Oria, "37.4965714203947,-2.3179379655"
- Padules, "36.9688864709379,-2.7696795135"
- Partaloa, "37.4120875148891,-2.2291350601"
- PaternadelRio, "37.0524639028168,-2.9480659442"
- Pechina, "36.9500648340616,-2.3995080902"
- Pulpi, "37.3644950266251,-1.6672326951"
- Purchena, "37.3842916187617,-2.3613236012"
- Ragol, "37.0125345906547,-2.6951096276"
- Rioja, "36.9770573189831,-2.4437323979"
- RoquetasdeMar, "36.8028573649892,-2.5998021092"
- SantaCruzdeMarchena, "37.037879352276,-2.58576257069"
- SantaFedeMondujar, "36.9764268152958,-2.5324675640"
- Senes, "37.2054282204537,-2.3396166071"
- Seron, "37.3487284196367,-2.5592568518"
- Sierro, "37.2949112329115,-2.3933837312"
- Somontin, "37.4227032987252,-2.3882857351"
- Sorbas, "37.0950302544558,-2.0745675475"
- Sufli, "37.3247745858706,-2.3835074167"
- Tabernas, "37.0482207257974,-2.3626499262"
- Taberno, "37.4806949766465,-2.0550592294"
- Tahal, "37.212299831167,-2.29781296559"
- Terque, "36.9592315148367,-2.6250736583"
- Tijola, "37.3917178565164,-2.4887328409"
- TresVillasLas, "37.1594500365745,-2.7216153217"
- Turre, "37.1114283811325,-1.9552292722"
- Turrillas, "37.0287243497916,-2.2689123031"
- UleiladelCampo, "37.194626983995,-2.18699236592"
- Urracal, "37.3939329037393,-2.3457569623"
- Velefique, "37.1986763867776,-2.3970252811"
- VelezBlanco, "37.7700760555487,-2.0901150249"
- VelezRubio, "37.5948503423256,-2.0547622098"
- Vera, "37.2053581571292,-1.8435778391"
- Viator, "36.9046787487177,-2.3945442845"
- Vicar, "36.8192548801768,-2.6769613688"
- Zurgena, "37.3588206399758,-2.0347978518"
